Absolute_Downloads,Change_Downloads,Change Ratio_Downloads,Absolute_Revenue,Change_Revenue,Change_Ratio_Revenue,Category,In_App_Purchases,Contains_Ads,Changed_Free_to_Paid,Free
77957002,7176355,0.101388661,227972.19,-7671.73,-0.032556452,Arcade,TRUE,TRUE,FALSE,TRUE
76992003,5764533,0.080931318,4020431.04,1537776.9,0.619408429,Action,TRUE,TRUE,FALSE,TRUE
76984894,21362848,0.384071596,0,0,0,Communication,FALSE,TRUE,FALSE,TRUE
75739469,-19024455,-0.200756303,0,0,0,Productivity,FALSE,FALSE,FALSE,TRUE
75182157,27573424,0.579167356,0,0,0,Personalization,FALSE,TRUE,FALSE,TRUE
75085582,6959608,0.102157923,71132.82,-1585.81,-0.021807479,Tools,FALSE,FALSE,,TRUE
74697417,20138514,0.369115083,20133495.89,7454267.64,0.587911779,Action,TRUE,TRUE,FALSE,TRUE
74085431,-1075201,-0.014305375,339537.55,36058.64,0.118817614,Music & Audio,FALSE,TRUE,FALSE,TRUE
73086898,32326924,0.793104628,46239932.23,37805660.4,4.482385814,Sports,TRUE,FALSE,FALSE,TRUE
72846531,1230893,0.017187489,90989322.87,55430237.56,1.55882068,Social Networking,TRUE,,,TRUE
72782263,52097891,2.518707892,0,0,0,News & Magazines,FALSE,TRUE,FALSE,TRUE
72519665,51223375,2.405272233,80682648.59,76906413.6,20.3658972,Action,TRUE,TRUE,FALSE,TRUE
72321460,6267421,0.094883236,0,0,0,Shopping,FALSE,TRUE,FALSE,TRUE
71803295,-13638507,-0.159623354,2621835.11,-643216.87,-0.197000499,Racing,TRUE,TRUE,FALSE,TRUE
71322949,30464688,0.745618811,0,0,0,Entertainment,FALSE,FALSE,FALSE,TRUE
71314720,-29819105,-0.29484799,162300638.8,91952800.52,1.307116221,Video Players & Editors,TRUE,TRUE,,TRUE
70951032,3469664,0.051416622,9330636.21,2481089.62,0.36222684,Productivity,TRUE,FALSE,FALSE,TRUE
70125858,47208789,2.059983718,10235456.96,8631217.66,5.380255714,Racing,TRUE,TRUE,FALSE,TRUE
70089484,69134421,72.38728859,17432.32,16615.34,20.33751132,Board,TRUE,TRUE,,TRUE
70005926,-15649666,-0.182704545,15652003.55,1318328.07,0.091974181,Racing,TRUE,TRUE,FALSE,TRUE
69153655,13904718,0.251673946,53350856.39,41920177.41,3.667339227,Social,TRUE,FALSE,FALSE,TRUE
69005641,16895513,0.324227049,0,0,0,Communication,FALSE,FALSE,FALSE,TRUE
67864058,11332745,0.200468455,0,0,0,Productivity,FALSE,TRUE,FALSE,TRUE
67808788,23548228,0.532036377,80975.71,-9169.76,-0.101721806,Photography,TRUE,TRUE,FALSE,TRUE
65089652,-470272,-0.007173163,27120853.92,17776492.65,1.902376432,Music & Audio,FALSE,TRUE,FALSE,TRUE
64961762,29444851,0.829037497,2268.56,-873.57,-0.278018414,Photography,TRUE,TRUE,FALSE,TRUE
64796609,7891537,0.138678974,0,0,0,Finance,FALSE,FALSE,FALSE,TRUE
64602246,40026612,1.628711267,0,0,0,Communication,FALSE,FALSE,FALSE,TRUE
63040706,-5355365,-0.078299308,3353648.35,607757.22,0.221333327,Productivity,TRUE,FALSE,FALSE,TRUE
61543939,1281345,0.021262692,5188521.63,-1745900.72,-0.251773058,Casual,TRUE,TRUE,FALSE,TRUE
61383013,-12492490,-0.169101928,1033583.24,-36923.95,-0.034492015,Board,TRUE,TRUE,FALSE,TRUE
60991823,26671317,0.777124819,118406545,86603037.73,2.72306564,Adventure,TRUE,TRUE,FALSE,TRUE
60500667,17504836,0.407128682,623652.77,-164157.01,-0.208371379,Arcade,TRUE,TRUE,FALSE,TRUE
59717242,10145004,0.204650918,306847606.8,185342227.3,1.525382893,Lifestyle,TRUE,TRUE,FALSE,TRUE
59574184,-2967746,-0.047452101,623969.54,-34770.89,-0.052783902,Strategy,TRUE,TRUE,FALSE,TRUE
59437489,-74481828,-0.556169414,509476.15,471312.32,12.34971228,Tools,FALSE,FALSE,,TRUE
58760837,57979403,74.19616116,1135836.88,1123793.83,93.31471928,Casual,TRUE,TRUE,FALSE,TRUE
58572084,-8139129,-0.122005412,5349788.52,4149117.7,3.455666308,Social,TRUE,TRUE,FALSE,TRUE
57956748,-71682674,-0.552938858,273369.53,-169055,-0.382110368,Action,TRUE,TRUE,FALSE,TRUE
57929894,1044860,0.018367924,0,0,0,Tools,FALSE,TRUE,FALSE,TRUE
56932325,4471530,0.085235651,706757.08,53446.48,0.081808683,Arcade,TRUE,TRUE,FALSE,TRUE
56921989,930899,0.016625842,509.65,509.65,0,Personalization,TRUE,TRUE,FALSE,TRUE
56561328,-571247,-0.009998622,8618788.93,2682149.41,0.451795903,Sports,TRUE,TRUE,FALSE,TRUE
56412480,54923196,36.87892705,0,0,0,Tools,FALSE,TRUE,FALSE,TRUE
56403391,55161022,44.39986993,975246.78,973254.02,488.3949999,Arcade,TRUE,TRUE,FALSE,TRUE
56220628,-21742986,-0.278886328,0,0,0,Photography,FALSE,FALSE,FALSE,TRUE
55618780,-110286373,-0.664755561,207669.78,-315985.13,-0.603422452,Communication,TRUE,TRUE,FALSE,TRUE
55048070,-9083114,-0.141633343,46608372.92,32301412.38,2.257741069,Entertainment,TRUE,,,TRUE
54661279,-6262699,-0.102795307,4595263.2,-2756113.82,-0.374911233,Arcade,FALSE,TRUE,,TRUE
54570936,-9651425,-0.150281379,0,0,0,Photography,FALSE,FALSE,FALSE,TRUE
54437108,-22996287,-0.296981516,112494.49,43427.94,0.628783977,Photography,TRUE,TRUE,FALSE,TRUE
53593412,16799434,0.456581074,81070.63,-1631.9,-0.019732165,Personalization,TRUE,TRUE,FALSE,TRUE
53584957,11191959,0.264004895,0,0,0,Tools,FALSE,FALSE,FALSE,TRUE
52435144,51263469,43.75229394,76454514.91,76126646.66,232.186699,Puzzle,TRUE,FALSE,FALSE,TRUE
52426485,25404314,0.940128534,1993745.82,950437.74,0.91098474,Puzzle,TRUE,TRUE,FALSE,TRUE
52055751,-463137,-0.008818485,4223881.65,-260714.91,-0.058135644,Action,TRUE,TRUE,FALSE,TRUE
51776696,51776696,0,20437772.38,20437772.38,0,Action,TRUE,TRUE,,TRUE
51692366,3186084,0.065683946,0,0,0,Productivity,FALSE,FALSE,FALSE,TRUE
51424217,45509795,7.694715561,3018136.06,2800599.88,12.87417973,Action,TRUE,TRUE,FALSE,TRUE
51228698,-12435075,-0.195324192,317857475.3,18994462.53,0.063555749,Casual,TRUE,FALSE,FALSE,TRUE
51176145,6826798,0.153932323,289667.31,62189.59,0.273387609,Casual,TRUE,TRUE,FALSE,TRUE
49780955,2371474,0.050021092,40365158.88,-3081720.71,-0.070930772,Arcade,TRUE,TRUE,FALSE,TRUE
49378253,-58668234,-0.542990667,1611775.83,-1909211.2,-0.542237499,Racing,TRUE,TRUE,FALSE,TRUE
49274861,-30298167,-0.380759257,6081.57,6081.57,0,Photography,TRUE,TRUE,FALSE,TRUE
49259155,28003581,1.317469996,257397077.3,195008505.1,3.125708732,Strategy,TRUE,FALSE,FALSE,TRUE
49170207,14078343,0.401185386,106350672.5,105900303.3,235.1410557,Productivity,TRUE,FALSE,FALSE,TRUE
48771799,27319135,1.273461189,0,0,0,Maps & Navigation,FALSE,FALSE,FALSE,TRUE
48361787,-5510165,-0.102282631,0,0,0,Video Players & Editors,FALSE,FALSE,FALSE,TRUE
47669217,5253119,0.123847295,3615726.19,3403557.16,16.04172466,Education,TRUE,TRUE,FALSE,TRUE
47626428,21801207,0.844182786,308761551.4,259366979.3,5.250920657,Casual,TRUE,TRUE,FALSE,TRUE
47604137,-11648792,-0.196594366,1761385.15,-648005.52,-0.268949958,Arcade,FALSE,TRUE,FALSE,TRUE
47441944,-1490424,-0.030458857,55301576.97,28924826.96,1.096603143,Casual,TRUE,TRUE,FALSE,TRUE
47423923,-24972272,-0.344939012,64697.06,58041.64,8.720958257,Photography,TRUE,TRUE,FALSE,TRUE
47383006,22359770,0.893560289,121179991.2,61416247.57,1.02765061,Puzzle,TRUE,FALSE,FALSE,TRUE
47117015,7971652,0.203642306,67396.48,-8859.45,-0.116180473,Racing,TRUE,TRUE,FALSE,TRUE
46987349,46987349,0,36529.28,36529.28,0,Music,TRUE,TRUE,,TRUE
46964577,1389992,0.030499279,0,0,0,Productivity,TRUE,TRUE,FALSE,TRUE
46900131,-26910566,-0.36458897,0,0,0,Photography,FALSE,FALSE,FALSE,TRUE
46667071,43820846,15.39612856,19814874.71,19538936.54,70.80911111,Word,TRUE,TRUE,FALSE,TRUE
46467042,-6056575,-0.115311461,6917833.79,-1210709.38,-0.148945433,Sports,TRUE,TRUE,FALSE,TRUE
46324782,16722808,0.564922056,676003.36,652873.94,28.22699142,Video Players & Editors,TRUE,TRUE,FALSE,TRUE
46309123,2953536,0.068123538,0,0,0,Travel & Local,FALSE,FALSE,FALSE,TRUE
46222019,-27544100,-0.373397711,0,0,0,Tools,FALSE,TRUE,FALSE,TRUE
46091318,46089962,33989.64749,0,0,0,Personalization,TRUE,TRUE,,TRUE
